CODE 	STATION NAME 	Lat	Long	Alt	desamp	 anntr	diuramp	diurmax	seasamp	peakdiur	seasmax	monthmax	err	p
GB0038R                        	 Lullington Heath   	50.7927	0.1794	120	21.4808	0.01445	11.18832	35.99649	16.31793	15	38.02809	5	0.00944	0.12859
GB0039R                            	 Sibton       	52.2938	1.463	46	17.92648	0.0356	13.2128	33.48744	16.4288	14	34.21382	5	0.00948	2.22E-04
GB0044R                              	Somerton  	51.2311	-3.4805	55	18.50168	-0.0014	13.33127	36.22966	13.31241	14	35.89197	4	0.00939	0.86978
GB0045R                              	Wicken Fen    	52.2983	-0.2927	5	26.31683	0.09409	16.51015	33.96812	16.46866	15	32.31623	5	0.00963	<0.0001
GR0002R                                  	 Finokalia 	35.5	26.1666	0	24.22043	-0.00727	4.22699	51.34034	20.54613	19	58.36265	6	0.01648	0.66026
HU0002R                         	 K-puszta      	46.9666	19.5833	125	31.16318	-0.10314	22.60631	45.06635	27.25156	15	44.45618	6	0.01329	<0.0001
IE0031R                              	Mace Head   	53.1666	-9.5	15	18.29109	0.01749	2.90977	37.8074	14.14207	16	43.93711	4	0.00929	0.06445
IT0001R                              	 Montelibretti 	42.1	12.6333	48	19.93019	0.01534	34.44163	44.91238	28.07913	15	38.9564	7	0.00875	0.0821
LT0015R	Preila	55.35	21.666	5	26.00912	0.03545	8.02935	34.50456	20.00566	15	38.58787	5	0.00831	<0.0001
LV0010R                                   	 Rucava 	56.2166	21.2166	18	22.4605	-0.00567	10.57696	30.61044	13.41413	15	31.21665	4	0.00981	0.56421
MT0001R                          	 Giordan lighthouse	36.1	14.2	160	27.81062	0.00807	4.37297	53.341	13.96559	16	57.40911	5	0.0112	0.4729
NL0009R                          	 Kollumerwaard  	53.3338	6.2772	1	18.09349	0.01357	11.86959	30.65157	19.12442	15	33.37402	5	0.00851	0.11348
NL0010R                            	Vredepeel 	51.5411	5.8536	28	13.54773	0.01177	17.48978	29.61124	18.4781	15	28.52318	5	0.00695	0.09295
NO0001R                                   	Birkenes	58.3833	8.25	190	14.49186	0.0085	11.86889	34.56533	14.39499	14	35.72218	4	0.00676	0.21073
NO0015R                                	 Tustervatn 	65.8333	13.9166	439	12.20442	0.00595	3.56422	37.14291	20.22692	14	47.38958	4	0.0055	0.28122
NO0039R                                 	 K?rvatn    	62.7833	8.8833	210	12.7526	-0.03529	10.1429	35.56417	23.099	13	42.85172	4	0.00606	<0.0001
NO0042G               	Spitsbergen. Zeppelinfjell  	78.9	11.8833	474	26.95869	0.03752	0.20694	34.11635	13.17747	4	40.09637	3	0.00958	1.52E-04
NO0043R                           	 Prestebakke     	59	11.5333	160	18.48602	0.0388	9.2755	34.16762	16.33354	14	37.82531	5	0.00753	<0.0001
NO0052R                                  	Sandve   	59.2	5.2	15	12.3819	0.01593	5.8282	36.37537	12.86069	14	40.91702	4	0.00644	0.01489
NO0055R                                 	 Karasjok   	69.4666	25.2166	333	14.0776	0.02784	2.82952	34.57925	19.81121	15	44.48433	4	0.00657	<0.0001
NO0056R                                     	Hurdal 	60.3666	4.6666	300	15.43412	0.00658	8.45323	32.35542	17.40089	14	37.19404	5	0.00748	0.38097
PL0002R                             	 Jarczew    	51.8166	21.9833	180	14.81431	0.02006	17.31319	37.10526	21.83532	14	37.87754	5	0.00752	0.00874
PL0003R                                 	 Sniezka  	50.7333	15.7333	1603	27.08264	-0.00541	1.94487	41.30824	18.15314	19	49.57177	5	0.01228	0.66019
